# src/c47 C file	zig_src owner(s)	kind	via
# Generated by build-correspondence-manifest.py -- do not hand-edit rows
# marked via=symbol; they are recomputed from the export table each run.
assign	shell/input/assign	port	symbol
browsers/asnBrowser	shell/browsers/asn_browser	port	symbol
browsers/flagBrowser	shell/browsers/flag_browser	port	symbol
browsers/fontBrowser	shell/browsers/font_browser	port	symbol
browsers/registerBrowser	shell/browsers/register_browser	port	symbol
bufferize	core/text/gap_insert;shell/display/bufferize	port	symbol
c47	shell/c47	port	symbol
c47Extensions/addons	abi/host;frontier;shell/extensions/addons	port	symbol
c47Extensions/graphText	shell/plot/graph_text	port	symbol
c47Extensions/graphs	core/analysis/graph;shell/plot/graphs;shell/plot/plot_zoom	port	symbol
c47Extensions/inlineTest	frontier	port	symbol
c47Extensions/jm	shell/extensions/jm	port	symbol
c47Extensions/keyboardTweak	core/input/keyboard_state;core/input/keyboard_state_shared	port	symbol
c47Extensions/radioButtonCatalog	shell/extensions/radio_button_catalog	port	symbol
c47Extensions/textfiles	shell/extensions/textfiles	port	symbol
c47Extensions/xeqm	shell/extensions/xeqm	port	symbol
calcMode	shell/calc_mode	port	symbol
charString	abi/c47_string;abi/glyph_code;core/state/base/byte_copy;core/text/display_string_transform;core/text/label_truncate;core/text/string_edit;shell/convert/conversion_name_codec;shell/display/text/char_string	port	symbol
config	core/persist/calc_state_runtime;frontier;shell/clear_all;shell/config;shell/frontend_settings;shell/program/keys_management	port	symbol
constants	abi/constants/constants	port	symbol
conversionAngles	shell/convert/conversion_angles	port	symbol
conversionUnits	shell/convert/conversion_pairs;shell/convert/conversion_units	port	symbol
core/freeList	shell/free_list	port	symbol
curveFitting	shell/plot/curve_fitting	port	symbol
dateTime	shell/convert/date_time	port	symbol
debug	shell/debug	port	symbol
display	core/state/value/register_conversions;core/text/word_break;frontier;shell/display/display;shell/display/display_format	port	symbol
distributions/binomial	frontier	port	symbol
distributions/cauchy	frontier	port	symbol
distributions/chi2	frontier;shell/distributions/chi2	port	symbol
distributions/exponential	frontier	port	symbol
distributions/f	frontier	port	symbol
distributions/geometric	frontier	port	symbol
distributions/gev	frontier	port	symbol
distributions/hyper	frontier	port	symbol
distributions/logistic	frontier	port	symbol
distributions/negBinom	frontier	port	symbol
distributions/normal	frontier;shell/distributions/normal	port	symbol
distributions/pareto	frontier	port	symbol
distributions/poisson	frontier	port	symbol
distributions/t	frontier	port	symbol
distributions/uniform	frontier	port	symbol
distributions/weibull	frontier	port	symbol
error	core/persist/calc_state_text;core/persist/word_scan;core/state/base/error_report;shell/error	port	symbol
flags	core/state/flags	port	symbol
fonts	core/text/fonts;core/text/glyph_font_search	port	symbol
fractions	shell/convert/fractions	port	symbol
integers	shell/convert/integers	port	symbol
items	frontier;shell/browsers/asn_browser;shell/display/items/items	port	symbol
keyboard	core/input/keyboard_hit_test;core/input/keyboard_state;core/input/keyboard_state_runtime;core/input/keyboard_state_shared	port	symbol
logicalOps/and	core/numeric/integer/logical_boolean_ops	port	symbol
logicalOps/countBits	core/numeric/integer/bit_manipulation	port	symbol
logicalOps/mask	core/numeric/integer/bit_manipulation	port	symbol
