# Tracked upstream commit triage ledger for z47.
# Keep one `pin-only` row for the currently pinned upstream commit.
upstream_commit	upstream_subject	surface	kind	local_owner	parity_target	status	notes
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	Repo-root imported baseline pin (font/glyph work, programming OOB guards, INT(INT), PLTFCNS plotting, QSPI section rename)	repo-root-import	pin	.github/project/upstream-pin.env	source-manifest	pin-only	Advanced from 643ef567 (97 commits). Surface follow-up rows below record the Zig re-port status for each touched owner.
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	Programming program-memory read guards	src/c47/programming	surface-followup	zig_src/shell/frontier_decode+manage+lbl_gto_xeq+clcvar+programmable_menu+addons.zig	testSuite	ported-to-zig	boundProgramNameLength + findKey2ndParam NULL guards + literal-base clamp.
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	Integrator INT(INT) save/restore + bounded save/restore names	src/c47/solver+saveRestorePrograms.c	surface-followup	zig_src/core/analysis/integrate.zig + zig_src/core/program/program_serialization_io+save.zig	testSuite	ported-to-zig	currentSolverProgram save/restore; save/restore name reads clamped.
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	+-0 inequalities, PLTFCNS menu, item-table growth	src/c47/items.c+checkValue.c+softmenus.c	surface-followup	zig_src/shell/display/items/items.zig + zig_src/core/numeric/compare/check_value.zig + zig_src/shell/display/softmenus/softmenus.zig	testSuite	ported-to-zig	LAST_ITEM 2850->2860; indexOfItems[2861]; menu wiring; signedZeroCheck.
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	Font/glyph, printer-font, and string-encoding updates	src/c47/charString.c+printing+res/fonts/*.ttf	surface-followup	zig_src/shell/frontier_char_string+print+printer_font8+c47+font_browser.zig	testSuite	ported-to-zig	utf8ToString 0x00 relocation; +14 printer glyphs; NUMBER_OF_GLYPH_ROWS 267; raster regen.
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	QSPI section rename and firmware build changes	src/c47/defines.h+c47-dmcp*/stm32_program.ld+meson	surface-followup	zig_build/firmware.zig linksection owners + zig_build/tools/generate_constants.zig	dmcp/dmcp5 flash	ported-to-build-overlay	.qspi -> .qspi_data across 26 owners; dmcp 675128/720896, dmcp5 1105256/1441792.
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	PIXEL/POINT axis drawing	src/c47/screen.c	surface-followup	zig_src/shell/display/screen.zig	sim (PEM-blind)	deferred	Negative-coord acceptance + axis lines; Zig fnClLcd already drops the C clear_mode branch so it is all-or-nothing. Imported as audit-only.
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	Softkey combined-key label trimming	src/c47/softmenus.c	surface-followup	zig_src/shell/display/softmenus/softmenus.zig	sim (PEM-blind)	deferred	showKey2 combined-key trim + trimSoftKeyName (never ported; Zig uses a simpler width model). Menu wiring and bounded reads ARE ported.
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	PC keyboard hex short-integer entry	src/c47-gtk/gtkGui.c	surface-followup	zig_build/host/gtk_gui_keypress.zig	sim (PEM-blind)	deferred	A-F/# entry in NIM integer-base mode; control-flow restructure on a divergent handler. Imported as audit-only.
f553b07fb4c9753ef024bb994dac4cba6bc18c8d	Docs/appnotes, font tooling, meson/CI refresh	docs+res/fonts tooling+c47-dmcp*/meson	surface-followup	imported audit inputs	source-manifest	no-op-for-z47	Audit-input refresh only; z47 build/CI has no analogue for the upstream meson/CI and appnote changes.
0caee2adcde273ecb75e7e9aa7181c97e50413cd	Repo-root imported baseline pin (RPN grapher / graph-plot rework, plot flags, item-table growth, compare save/restore reallocate, save/restore + coverage test suites)	repo-root-import	pin	.github/project/upstream-pin.env	source-manifest	pin-only	Advanced from f553b07f (166 commits). Seams re-synced free (indexOfItems 2860->2870, constant blob offsets, abi layouts, 2064 const mirrors). Re-ported: compare.c reallocate-on-restore; owner-local constR / offset_const_ / OFF_const_ / WP34S gammaC blob-offset remaps. Deferred (testSuite-blind): fnMvarPlot stub + ~2700-line graph/plot rework.
80244c7f116baac077bdf441e73dcddc745d48aa	CONV unit-conversion fixes (firkin=90lb exact, fpf->mph 39-digit, Kmphmps rounding) + do-not-leak-glyph-on-restore	repo-root-import	pin	.github/project/upstream-pin.env	source-manifest	pin-only	Advanced from 0caee2adc (4 commits). generateConstants firToLb 16->2 + fpfToMph 14->39 digits shifted the blob +4 -> remapped 168 abi accessors + 149 owner offsets (constR/OFF_const_/offset_const_/conversionFactorOffsets/gammaC) by name; const_fpfToMph->const39_fpfToMph. Re-derived: runConversionFromSI null-guard on findPair(unity); glyphNotFound save/restore removed. cvtTempConsts[13]->[12] was already [12] in z47. testSuite 10228/10228.
1bfa37980b5167b6496a2c11ff6de90e86ed3d97	Local named labels feature + exhaustive CONV test coverage	repo-root-import	pin	.github/project/upstream-pin.env	source-manifest	pin-only	Advanced from 80244c7f (30 commits). Seams re-synced free: item 2859 -> TamLocalLabel (status/name re-emit); printerFont8 triangle glyph 0x25B6->0x25B8; font seam regen; NO blob shift (generateConstants comment-only). Ported the Local-named-labels feature across manage/lblGtoXeq/decode/nextStep(program_step_width)/programmableMenu/keyboard/tam/addons/softmenus/items: findNamedLabel(+labelType scope) + scan-forward local search; TamState.colon ABI field (+1 -> sizeof 28, digitsSoFar@12); MNU_TAMLOCALLABEL softmenu 185 + menu_TamLocalLabel; ITM_COLON TAM UI + colon EXIT/reset; cleanLocalFlagsAndRegisters extraction. Fixed 3 PRE-EXISTING latent conversion gaps the new exhaustive conversions/conversionsSI tests exposed: conversionFactorOffsets [165->167], convertPairs [314->318], MimFunctionsType3Conv (+4) for the MphKnot/MphFps speed pairs + SI round-trips. testSuite 11736/11736.
