`Code point`,`Rank 1`,`Rank 2`,`Unicode name`,`WP43 usage`,`Glyph`,`Replacement`,`Code point`
`U+0020`,1,1,`SPACE`,`Space`,` `,` `,`U+0020`
`U+0021`,488,488,`EXCLAMATION MARK`,`Exclamation mark`,`!`,`!`,`U+0021`
`U+0022`,501,501,`QUOTATION MARK`,`Quotation mark`,,,`U+0022`
`U+0023`,590,590,`NUMBER SIGN`,`Number sign`,`#`,`#`,`U+0023`
`U+0024`,552,553,`DOLLAR SIGN`,`Dollar`,`$`,`%`,`U+0025`
`U+0025`,552,552,`PERCENT SIGN`,`Percent`,`%`,`%`,`U+0025`
`U+0026`,532,532,`AMPERSAND`,`Ampersand`,`&`,`&`,`U+0026`
`U+0027`,496,496,`APOSTROPHE`,`Apostrophe`,`'`,`'`,`U+0027`
`U+0028`,449,449,`LEFT PARENTHESIS`,`Left parenthesis`,`(`,`(`,`U+0028`
`U+0029`,449,450,`RIGHT PARENTHESIS`,`Right parenthesis`,`)`,`(`,`U+0028`
`U+002a`,474,478,`ASTERISK`,`Asterisk`,`*`,`×`,`U+00d7`
`U+002b`,465,465,`PLUS SIGN`,`Plus`,`+`,`+`,`U+002b`
`U+002c`,483,483,`COMMA`,`Comma`,"`,`","`,`",`U+002c`
`U+002d`,469,469,`HYPHEN-MINUS`,`Minus`,`-`,`-`,`U+002d`
`U+002e`,485,485,`FULL STOP`,`Full stop`,`.`,`.`,`U+002e`
`U+002f`,480,480,`SOLIDUS`,`Slash`,`/`,`/`,`U+002f`
`U+0030`,10,10,`DIGIT ZERO`,`Digit 0`,``,``,`U+0030`
`U+0031`,15,15,`DIGIT ONE`,`Digit 1`,`1`,`1`,`U+0031`
`U+0032`,22,22,`DIGIT TWO`,`Digit 2`,`2`,`2`,`U+0032`
`U+0033`,26,26,`DIGIT THREE`,`Digit 3`,`3`,`3`,`U+0033`
`U+0034`,31,31,`DIGIT FOUR`,`Digit 4`,`4`,`4`,`U+0034`
`U+0035`,35,35,`DIGIT FIVE`,`Digit 5`,`5`,`5`,`U+0035`
`U+0036`,39,39,`DIGIT SIX`,`Digit 6`,`6`,`6`,`U+0036`
`U+0037`,43,43,`DIGIT SEVEN`,`Digit 7`,`7`,`7`,`U+0037`
`U+0038`,47,47,`DIGIT EIGHT`,`Digit 8`,`8`,`8`,`U+0038`
`U+0039`,51,51,`DIGIT NINE`,`Digit 9`,`9`,`9`,`U+0039`
`U+003a`,492,492,`COLON`,`Colon`,`:`,`:`,`U+003a`
`U+003b`,495,495,`SEMICOLON`,`Semicolon`,`;`,`;`,`U+003b`
`U+003c`,538,539,`LESS-THAN SIGN`,`Less than`,`<`,`≪`,`U+226a`
`U+003d`,538,543,`EQUALS SIGN`,`Equal`,`=`,`≪`,`U+226a`
`U+003e`,538,550,`GREATER-THAN SIGN`,`Greater than`,`>`,`≪`,`U+226a`
`U+003f`,490,490,`QUESTION MARK`,`Question mark`,`?`,`?`,`U+003f`
`U+0040`,508,508,`COMMERCIAL AT`,`At`,`@`,`@`,`U+0040`
`U+0041`,63,63,`LATIN CAPITAL LETTER A`,`A`,`A`,`A`,`U+0041`
`U+0042`,89,89,`LATIN CAPITAL LETTER B`,`B`,`B`,`B`,`U+0042`
`U+0043`,95,95,`LATIN CAPITAL LETTER C`,`C`,`C`,`C`,`U+0043`
`U+0044`,109,109,`LATIN CAPITAL LETTER D`,`D`,`D`,`D`,`U+0044`
`U+0045`,121,121,`LATIN CAPITAL LETTER E`,`E`,`E`,`E`,`U+0045`
`U+0046`,146,146,`LATIN CAPITAL LETTER F`,`F`,`F`,`F`,`U+0046`
`U+0047`,152,152,`LATIN CAPITAL LETTER G`,`G`,`G`,`G`,`U+0047`
`U+0048`,160,160,`LATIN CAPITAL LETTER H`,`H`,`H`,`H`,`U+0048`
`U+0049`,169,169,`LATIN CAPITAL LETTER I`,`I`,`I`,`I`,`U+0049`
