Layout;Row;Column;Index;Primary;F-shift;G-shift;;Alpha
;;;1;2;3;4;;5
C43;1;1;C43.11;F1;;;;
C43;1;2;C43.12;F2;;;;
C43;1;3;C43.13;F3;;;;
C43;1;4;C43.14;F4;;;;
C43;1;5;C43.15;F4;;;;
C43;1;6;C43.16;F6;;;;
C43;2;1;C43.21;Sigma+;->I;a b/c;;A
C43;2;2;C43.22;1/x;y^x;#;;B
C43;2;3;C43.23;√x;x^2;.ms;;C
C43;2;4;C43.24;LOG;10^x;.d;;D
C43;2;5;C43.25;LN;e^x;->R;;E
C43;2;6;C43.26;XEQ;alpha;->P;;F
C43;3;1;C43.31;STO;|x|;angle;;G
C43;3;2;C43.32;RCL;%;Delta %;;H
C43;3;3;C43.33;RDN;pi;x√y;;I
C43;3;4;C43.34;SIN;ASIN;GTO;;J
C43;3;5;C43.35;COS;ACOS;LBL;;K
C43;3;6;C43.36;TAN;ATAN;RTN;;L
C43;4;1;C43.41;ENTER;COMPLEX;[ CPX ];;
C43;4;2;C43.42;x <> y;LASTx;R Up;;M
C43;4;3;C43.43;CHS;[ MODE ];[ STK ];;N
C43;4;4;C43.44;EEX;[ DISP ];[ EXP ];;O
C43;4;5;C43.45;<=;Undo;[ CLR ];;
C43;5;1;C43.51;Up;Scroll Up;REGS;;
C43;5;2;C43.52;7;[ EQN ];[ HOME ];;P
C43;5;3;C43.53;8;[ ADV ];[ CNST ];;Q
C43;5;4;C43.54;9;[ MATX ];[ X.FN ];;R
C43;5;5;C43.55;÷;[ STAT ];[ SUM ];;S
C43;6;1;C43.61;Dn;Scroll Dn;FLGS;;
C43;6;2;C43.62;4;[ BASE ];[ CLK ];;T
C43;6;3;C43.63;5;[ CONV ];[ UNIT ];;U
C43;6;4;C43.64;6;[ FLAG ];[ BITS ];;V
C43;6;5;C43.65;✕;[ PROB ];[ INTS ];;W
C43;7;1;C43.71;f/g; ; ;;
C43;7;2;C43.72;1;ASN;[ KEYS ];;X
